date,predator,cmbslifestage,density,replicate,eaten,notes
8/5/2022,scaledestroyerbeetle,crawlers ,6,4,5,
8/5/2022,scaledestroyerbeetle,crawlers ,9,5,9,
8/5/2022,scaledestroyerbeetle,crawlers ,17,6,13,
8/5/2022,scaledestroyerbeetle,crawlers ,3,9,3,
8/5/2022,scaledestroyerbeetle,crawlers ,13,10,13,
8/5/2022,scaledestroyerbeetle,crawlers ,2,11,2,
8/5/2022,scaledestroyerbeetle,crawlers ,3,12,3,
8/5/2022,scaledestroyerbeetle,crawlers ,25,13,25,
8/5/2022,scaledestroyerbeetle,crawlers ,18,14,17,
8/5/2022,scaledestroyerbeetle,crawlers ,3,15,2,
8/5/2022,scaledestroyerbeetle,crawlers ,8,17,8,
8/5/2022,scaledestroyerbeetle,crawlers ,11,19,11,
8/5/2022,scaledestroyerbeetle,crawlers ,22,21,22,
8/5/2022,scaledestroyerbeetle,crawlers ,3,22,3,
8/5/2022,scaledestroyerbeetle,crawlers ,16,24,16,
8/5/2022,scaledestroyerbeetle,crawlers ,12,25,12,
8/5/2022,scaledestroyerbeetle,crawlers ,25,1,20,
8/5/2022,scaledestroyerbeetle,crawlers ,25,2,9,
8/5/2022,scaledestroyerbeetle,eggs,29,1,29,
8/5/2022,scaledestroyerbeetle,eggs,75,3,75,
8/5/2022,scaledestroyerbeetle,eggs,4,4,3,
8/5/2022,scaledestroyerbeetle,eggs,3,5,2,
8/5/2022,scaledestroyerbeetle,eggs,7,6,7,
8/5/2022,scaledestroyerbeetle,eggs,71,7,70,
8/5/2022,scaledestroyerbeetle,eggs,72,8,39,
8/5/2022,scaledestroyerbeetle,eggs,45,9,45,
8/5/2022,scaledestroyerbeetle,eggs,43,10,43,
8/5/2022,scaledestroyerbeetle,eggs,42,11,42,
8/5/2022,scaledestroyerbeetle,eggs,42,12,42,
8/5/2022,scaledestroyerbeetle,eggs,23,13,17,AC
8/5/2022,scaledestroyerbeetle,eggs,52,14,48,
8/5/2022,scaledestroyerbeetle,eggs,54,15,54,
8/5/2022,scaledestroyerbeetle,eggs,47,16,47,
8/5/2022,scaledestroyerbeetle,eggs,24,17,24,
8/5/2022,scaledestroyerbeetle,eggs,68,18,68,
8/5/2022,scaledestroyerbeetle,eggs,2,19,2,
8/5/2022,scaledestroyerbeetle,eggs,28,20,28,
8/5/2022,scaledestroyerbeetle,eggs,76,21,76,
8/5/2022,scaledestroyerbeetle,eggs,10,22,10,
8/5/2022,scaledestroyerbeetle,eggs,55,23,55,
8/5/2022,scaledestroyerbeetle,eggs,80,24,56,
8/5/2022,scaledestroyerbeetle,eggs,49,25,49,
8/5/2022,scaledestroyerbeetle,ovisacs,1,1,0,
8/5/2022,scaledestroyerbeetle,ovisacs,1,2,1,
8/5/2022,scaledestroyerbeetle,ovisacs,1,3,0,
8/5/2022,scaledestroyerbeetle,ovisacs,1,4,1,AC
8/5/2022,scaledestroyerbeetle,ovisacs,1,5,1,AC
8/5/2022,scaledestroyerbeetle,ovisacs,2,1,0,
8/5/2022,scaledestroyerbeetle,ovisacs,2,2,0,AC
8/5/2022,scaledestroyerbeetle,ovisacs,2,3,1,
8/5/2022,scaledestroyerbeetle,ovisacs,2,4,0,AC
8/5/2022,scaledestroyerbeetle,ovisacs,2,5,0,AC
8/5/2022,scaledestroyerbeetle,ovisacs,3,1,2,
8/5/2022,scaledestroyerbeetle,ovisacs,3,2,0,AC
8/5/2022,scaledestroyerbeetle,ovisacs,3,3,2,AC
8/5/2022,scaledestroyerbeetle,ovisacs,3,4,2,AC
8/5/2022,scaledestroyerbeetle,ovisacs,3,5,2,
8/5/2022,scaledestroyerbeetle,ovisacs,4,1,4,
8/5/2022,scaledestroyerbeetle,ovisacs,4,2,4,AC
8/5/2022,scaledestroyerbeetle,ovisacs,4,3,0,AC
8/5/2022,scaledestroyerbeetle,ovisacs,4,4,1,AC
8/5/2022,scaledestroyerbeetle,ovisacs,4,5,3,AC
8/5/2022,scaledestroyerbeetle,ovisacs,5,1,0,AC
8/5/2022,scaledestroyerbeetle,ovisacs,5,2,0,AC
8/5/2022,scaledestroyerbeetle,ovisacs,5,3,3,AC
8/5/2022,scaledestroyerbeetle,ovisacs,5,4,4,
8/5/2022,scaledestroyerbeetle,ovisacs,5,5,5,AC
9/20/2022,scaledestroyerbeetle,crawlers,18,1,8,
9/20/2022,scaledestroyerbeetle,crawlers,13,3,,SDB dead
9/20/2022,scaledestroyerbeetle,crawlers,19,4,7,
9/20/2022,scaledestroyerbeetle,crawlers,21,5,16,
9/20/2022,scaledestroyerbeetle,crawlers,20,6,10,
9/20/2022,scaledestroyerbeetle,crawlers,10,8,2,
9/20/2022,scaledestroyerbeetle,crawlers,18,9,17,
9/20/2022,scaledestroyerbeetle,crawlers,7,10,4,
9/20/2022,scaledestroyerbeetle,crawlers,24,11,16,
9/20/2022,scaledestroyerbeetle,crawlers,5,12,1,
9/20/2022,scaledestroyerbeetle,crawlers,14,13,9,
9/20/2022,scaledestroyerbeetle,crawlers,7,15,5,
9/20/2022,scaledestroyerbeetle,eggs,83,1,83,
9/20/2022,scaledestroyerbeetle,eggs,84,2,40,
9/20/2022,scaledestroyerbeetle,eggs,87,3,86,
9/20/2022,scaledestroyerbeetle,eggs,87,4,86,
9/20/2022,scaledestroyerbeetle,eggs,76,5,53,
9/20/2022,scaledestroyerbeetle,eggs,98,6,42,
9/20/2022,scaledestroyerbeetle,eggs,93,7,92,
9/20/2022,scaledestroyerbeetle,eggs,60,8,60,
9/20/2022,scaledestroyerbeetle,eggs,51,9,51,
9/20/2022,scaledestroyerbeetle,eggs,66,10,63,
9/20/2022,scaledestroyerbeetle,eggs,78,11,69,
9/20/2022,scaledestroyerbeetle,eggs,71,12,71,
9/20/2022,scaledestroyerbeetle,eggs,97,13,90,
9/20/2022,scaledestroyerbeetle,eggs,61,14,61,
9/20/2022,scaledestroyerbeetle,eggs,54,15,52,
9/20/2022,scaledestroyerbeetle,eggs,175,16,100,
9/20/2022,scaledestroyerbeetle,eggs,170,17,75,
9/20/2022,scaledestroyerbeetle,ovisacs,8,1,0,
9/20/2022,scaledestroyerbeetle,ovisacs,3,2,0,
9/20/2022,scaledestroyerbeetle,ovisacs,5,3,0,
9/20/2022,scaledestroyerbeetle,ovisacs,3,4,2,
9/20/2022,scaledestroyerbeetle,ovisacs,10,5,0,
9/20/2022,scaledestroyerbeetle,ovisacs,1,6,0,AC
9/20/2022,scaledestroyerbeetle,ovisacs,11,7,0,
9/20/2022,scaledestroyerbeetle,ovisacs,6,8,0,
9/20/2022,scaledestroyerbeetle,ovisacs,2,9,2,
9/20/2022,scaledestroyerbeetle,ovisacs,16,10,0,
10/3/2022,scaledestroyerbeetle,crawlers,21,1,12,
10/3/2022,scaledestroyerbeetle,crawlers,28,2,27,
10/3/2022,scaledestroyerbeetle,crawlers,11,3,6,
10/3/2022,scaledestroyerbeetle,crawlers,9,4,9,
10/3/2022,scaledestroyerbeetle,crawlers,22,5,16,
10/3/2022,scaledestroyerbeetle,crawlers,20,6,20,
10/3/2022,scaledestroyerbeetle,crawlers,15,7,15,
10/3/2022,scaledestroyerbeetle,crawlers,24,8,16,
10/3/2022,scaledestroyerbeetle,crawlers,31,9,16,
10/3/2022,scaledestroyerbeetle,crawlers,26,11,26,
10/3/2022,scaledestroyerbeetle,crawlers,12,13,4,
10/3/2022,scaledestroyerbeetle,crawlers,17,14,16,
10/3/2022,scaledestroyerbeetle,crawlers,7,16,7,
10/3/2022,scaledestroyerbeetle,crawlers,11,17,11,
10/3/2022,scaledestroyerbeetle,crawlers,8,18,6,
10/3/2022,scaledestroyerbeetle,crawlers,2,19,2,
10/3/2022,scaledestroyerbeetle,crawlers,11,20,11,
10/3/2022,scaledestroyerbeetle,crawlers,2,22,2,
10/3/2022,scaledestroyerbeetle,crawlers,17,23,9,
10/3/2022,scaledestroyerbeetle,crawlers,22,24,21,
10/3/2022,scaledestroyerbeetle,crawlers,7,25,7,
10/3/2022,scaledestroyerbeetle,eggs,140,1,45,
10/3/2022,scaledestroyerbeetle,eggs,110,2,94,
10/3/2022,scaledestroyerbeetle,eggs,148,3,120,
10/3/2022,scaledestroyerbeetle,eggs,126,4,82,
10/3/2022,scaledestroyerbeetle,eggs,146,5,55,
10/3/2022,scaledestroyerbeetle,eggs,174,6,74,
10/3/2022,scaledestroyerbeetle,eggs,110,7,108,
10/3/2022,scaledestroyerbeetle,eggs,150,8,99,
10/3/2022,scaledestroyerbeetle,eggs,100,9,73,
10/3/2022,scaledestroyerbeetle,eggs,135,10,97,
10/3/2022,scaledestroyerbeetle,eggs,112,11,76,
10/3/2022,scaledestroyerbeetle,eggs,128,12,117,
10/3/2022,scaledestroyerbeetle,eggs,127,13,77,
10/3/2022,scaledestroyerbeetle,eggs,238,14,56,
10/3/2022,scaledestroyerbeetle,eggs,113,15,44,
10/3/2022,scaledestroyerbeetle,ovisacs ,10,1,3,
10/3/2022,scaledestroyerbeetle,ovisacs ,10,2,9,
10/3/2022,scaledestroyerbeetle,ovisacs ,10,3,0,
10/3/2022,scaledestroyerbeetle,ovisacs ,10,4,0,
10/3/2022,scaledestroyerbeetle,ovisacs ,10,5,1,
10/31/2022,scaledestroyerbeetle,crawlers,35,,32,
10/31/2022,scaledestroyerbeetle,crawlers,31,,16,
10/31/2022,scaledestroyerbeetle,crawlers,30,,20,
10/31/2022,scaledestroyerbeetle,crawlers,32,,20,
10/31/2022,scaledestroyerbeetle,crawlers,28,,22,
10/31/2022,scaledestroyerbeetle,crawlers,27,,16,
10/31/2022,scaledestroyerbeetle,crawlers,35,,29,
10/31/2022,scaledestroyerbeetle,crawlers,32,,21,
10/31/2022,scaledestroyerbeetle,crawlers,25,,19,
10/31/2022,scaledestroyerbeetle,crawlers,27,,16,
10/31/2022,scaledestroyerbeetle,crawlers,39,,36,
10/31/2022,scaledestroyerbeetle,crawlers,37,,21,
10/31/2022,scaledestroyerbeetle,crawlers,29,,11,
10/31/2022,scaledestroyerbeetle,crawlers,25,,20,
10/31/2022,scaledestroyerbeetle,crawlers,39,,33,
10/31/2022,scaledestroyerbeetle,crawlers,38,,26,
10/31/2022,scaledestroyerbeetle,crawlers,27,,11,
10/31/2022,scaledestroyerbeetle,crawlers,29,,19,
10/31/2022,scaledestroyerbeetle,crawlers,45,,8,
10/31/2022,scaledestroyerbeetle,eggs,139,,59,
10/31/2022,scaledestroyerbeetle,eggs,205,,201,
10/31/2022,scaledestroyerbeetle,eggs,225,,118,
10/31/2022,scaledestroyerbeetle,eggs,205,,67,
10/31/2022,scaledestroyerbeetle,eggs,159,,79,
10/31/2022,scaledestroyerbeetle,eggs,321,,115,
10/31/2022,scaledestroyerbeetle,eggs,157,,89,
10/31/2022,scaledestroyerbeetle,eggs,169,,164,
10/31/2022,scaledestroyerbeetle,eggs,232,,104,
10/31/2022,scaledestroyerbeetle,eggs,177,,47,
10/31/2022,scaledestroyerbeetle,eggs,181,,59,
11/22/2022,scaledestroyerbeetle,crawlers,34,,30,
11/22/2022,scaledestroyerbeetle,crawlers,31,,26,
11/22/2022,scaledestroyerbeetle,crawlers,45,,26,
11/22/2022,scaledestroyerbeetle,crawlers,35,,29,
11/22/2022,scaledestroyerbeetle,crawlers,41,,31,
11/22/2022,scaledestroyerbeetle,crawlers,35,,29,
11/22/2022,scaledestroyerbeetle,crawlers,35,,33,
11/22/2022,scaledestroyerbeetle,crawlers,48,,21,
7/28/2023,SDB,ovisacs,11,,1,
7/28/2023,SDB,ovisacs,5,,0,
7/28/2023,SDB,ovisacs,8,,0,
7/28/2023,SDB,ovisacs,6,,4,
8/3/2023,SDB,ovisacs,12,,4,
8/3/2023,SDB,ovisacs,5,,0,
8/3/2023,SDB,ovisacs,7,,1,
8/3/2023,SDB,ovisacs,6,,0,
8/3/2023,SDB,ovisacs,5,,0,
8/3/2023,SDB,ovisacs,12,,1,
8/3/2023,SDB,ovisacs,7,,1,
8/3/2023,SDB,ovisacs,2,,0,
8/3/2023,SDB,ovisacs,13,,2,
